id,title,artist_channel,language,era,popularity,views,likes,duration_seconds,duration,published_at,youtube_video_id,youtube_url
1,New Song 2026 | New Hindi Song | Teri Yaad Satati Hai | Shahid Kapoor | Alia Bhatt | Romantic Song,Prakash Jojawar,Hindi,2020s,Medium,338208,2150,316,5:16,2026-08-24T02:10:06Z,1OJF22PtAQQ,https://www.youtube.com/watch?v=1OJF22PtAQQ
2,New Song 2026 | New Hindi Song | Mohabbat Hui Hai | Yash | Kiara Advani | New Song,Sagar Bairagi,Hindi,2020s,Low,22282,304,271,4:31,2026-08-24T13:30:02Z,HMjRyqDW18E,https://www.youtube.com/watch?v=HMjRyqDW18E
3,"Gehra Hua - Lyrical (Full Version) | Dhurandhar, Ranveer Singh, Sara A,Shashwat Sachdev,Arijit Singh",Saregama Music,Hindi,2020s,Top Hit,178414304,634915,364,6:04,2026-03-25T11:08:25Z,GVizJ_jpUnw,https://www.youtube.com/watch?v=GVizJ_jpUnw
4,New Song 2026 | New Hindi Song | Dil Haar Gaya | Emraan Hashmi | Disha Patani | Bollywood New Song,Prakash Jojawar,Hindi,2020s,Medium,400830,2482,242,4:02,2026-08-22T02:14:08Z,F4Rd4-0qZL8,https://www.youtube.com/watch?v=F4Rd4-0qZL8
5,Kuch Kuch Hota Hai (Title Track) - 8K/4K Music Video | Shahrukh Khan | Kajol | Rani | Jatin & Lalit,Sony Music India,Hindi,2020s,Very Popular,52056521,227454,309,5:09,2026-03-25T10:30:21Z,_1KqB_17dJE,https://www.youtube.com/watch?v=_1KqB_17dJE
6,New Song 2026 | New Hindi Song | Rihayi De Dil | Yash | Raashi Khanna | New Song,Gaurav Mali,Hindi,2020s,Medium,123073,648,300,5:00,2026-08-23T14:59:20Z,GVf1XJUI8iI,https://www.youtube.com/watch?v=GVf1XJUI8iI
7,DIL KE BADLE SANAM,Udit Narayan - Topic,English/International,2010s,Very Popular,27917824,181203,258,4:18,2015-01-19T05:06:45Z,2LFNbp2_NNY,https://www.youtube.com/watch?v=2LFNbp2_NNY
8,Sheesha (Official Music Video) | Mitta Ror ft. Swara Verma | Sorab Bedi | Niharika Tiwari,Sony Music India,Hindi,2020s,Top Hit,242769536,1424374,195,3:15,2026-03-19T04:30:07Z,aRNfSqsgrgE,https://www.youtube.com/watch?v=aRNfSqsgrgE
9,"Shararat - 8K Video | Dhurandhar | Ranveer Singh, Shashwat S, Jasmine, Madhubanti, Ayesha, Krystle",Saregama Music,Hindi,2020s,Top Hit,124850579,422342,227,3:47,2026-05-04T07:23:07Z,v5jVX0QYwQo,https://www.youtube.com/watch?v=v5jVX0QYwQo
10,Kiska Hai Ye Tumko Intezar Main Hoon Na - Shahrukh Khan | Sonu Nigam | 90s Hits Hindi Songs,AKS Music Studios,Hindi,2020s,Very Popular,25854267,119619,408,6:48,2024-01-13T05:51:59Z,Op_UWVBWj3c,https://www.youtube.com/watch?v=Op_UWVBWj3c
11,Chaahat ❤️ | Salman Khan & Rashmika Mandana | New Hindi Romantic Song 2026 | Nagesh Biswal,Nagesh Biswal,Hindi,2020s,Low,18867,188,346,5:46,2026-08-24T04:02:23Z,Q_vtQCblZVo,https://www.youtube.com/watch?v=Q_vtQCblZVo
12,"Aksar Is Duniya Mein - HD | Akshay Kumar, Sunil Shetty, Mahima Chaudhary | Dhadkan Song, Alka Yagnik",MusicBird Studio,English/International,2020s,Very Popular,18510830,67621,360,6:00,2026-04-25T01:51:28Z,H8g7_YNPQ_g,https://www.youtube.com/watch?v=H8g7_YNPQ_g
13,"Aankhon Se Tune 2.0 | Bhai Tera Star Hai | Raghav, Niharika | Lijo, Dev, Palak, Kumar, Alka, Mohsin",Tips Official,Hindi,2020s,Very Popular,46859284,388871,229,3:49,2026-07-22T07:15:20Z,LX2zshAgECQ,https://www.youtube.com/watch?v=LX2zshAgECQ
14,JAIYE SAJANA (Video): Dhurandhar The Revenge | Ranveer Singh | Shashwat S | Satinder S | Jasmine S,T-Series,Hindi,2020s,Top Hit,272237512,1364631,152,2:32,2026-03-29T06:42:01Z,F2m4HPLvj-4,https://www.youtube.com/watch?v=F2m4HPLvj-4
15,"Aadmi Khilona Hai (I) | Alka Yagnik | Aadmi Khilona Hai 1993 Songs | Meenakshi Sheshadri, Jeetendra",Goldmines Gaane Sune Ansune,English/International,2010s,Top Hit,132431161,367814,312,5:12,2015-09-30T04:35:08Z,D6py1vBNkmA,https://www.youtube.com/watch?v=D6py1vBNkmA
16,New Song 2026 | New Hindi Song | Tanhayi Reh Gayi | Yash | Kiara Advani | New Song,Gaurav Mali,Hindi,2020s,Medium,430856,1899,327,5:27,2026-08-21T15:01:34Z,UcfD5Iuxg40,https://www.youtube.com/watch?v=UcfD5Iuxg40
17,"Bandhu 2.0 | Shahid, Kriti, Rashmika| Pritam | Kavita | Neeraj | Irshad K | Cocktail 2 | 19th June",Sony Music India,Hindi,2020s,Very Popular,51472735,400424,186,3:06,2026-06-17T08:50:17Z,0RxUcKE13ZI,https://www.youtube.com/watch?v=0RxUcKE13ZI
18,"Saajanji Ghar Aaaye - 8K/4K Music Video | Salman Khan, Kajol | Jatin Lalit | Kuch Kuch Hota Hai",Sony Music India,Hindi,2020s,Very Popular,44787405,135252,436,7:16,2026-01-10T10:30:32Z,XWmon1qR6pM,https://www.youtube.com/watch?v=XWmon1qR6pM
